accident_id_sp,year,latitude_sp,longitude_sp,severity,state_name,district_name,station_name,state_code,district_code,station_code
20251321918207473,2025,29.036579089957,76.969180534,Grievous Injury,HARYANA,SONIPAT,SADAR SONIPAT,13,219,18
20251321338731262,2025,29.306620882307,76.890365143,Grievous Injury,HARYANA,PANIPAT,MODEL TOWN,13,213,38
20251322791571029,2025,28.498383530326,77.062838495,Minor Injury Hospitalized,HARYANA,GURUGRAM,SECTOR-40,13,227,91
20251321513391369,2025,29.732285326083,76.929238677,Minor Injury Hospitalized,HARYANA,KARNAL,CITY KARNAL,13,215,13
20251323614201414,2025,28.281898352997,76.590387018,Fatal,HARYANA,REWARI,SADAR REWARI,13,236,14
20251320521662275,2025,30.147670685646,77.322683089,Minor Injury Non-Hospitalized,HARYANA,YAMUNANAGAR,CHHACHHRAULI,13,205,21
20251321940479201,2025,28.917284035654,76.977872091,Minor Injury Hospitalized,HARYANA,SONIPAT,RAI,13,219,40
20251320110183667,2025,30.612448389058,76.81162169,Grievous Injury,HARYANA,PANCHKULA,SECTOR-5,13,201,10
20251320311270555,2025,30.356622720507,76.768313854,Minor Injury Non-Hospitalized,HARYANA,AMBALA,CITY AMBALA,13,203,11
20251320521779514,2025,30.076711265539,77.225456008,Non-Injury,HARYANA,YAMUNANAGAR,CHHACHHRAULI,13,205,21
20251321322383060,2025,29.397045177865,76.917565967,Minor Injury Hospitalized,HARYANA,PANIPAT,SAMALKHA,13,213,22
20251320323133659,2025,30.439913345634,76.826379984,Grievous Injury,HARYANA,AMBALA,NARAINGARH,13,203,23
20251322233852787,2025,28.853693357676,76.554576912,Non-Injury,HARYANA,ROHTAK,MODEL TOWN,13,222,33
20251322220581141,2025,28.923478959753,76.587813742,Non-Injury,HARYANA,ROHTAK,SAMPLA,13,222,20
20251323622883300,2025,28.134733457515,76.663898017,Minor Injury Hospitalized,HARYANA,REWARI,BAWAL,13,236,22
20251324427634277,2025,28.779392090925,76.081677737,Non-Injury,HARYANA,BHIWANI,SIWANI,13,244,27
20251324613267753,2025,29.578140788356,75.092998524,Grievous Injury,HARYANA,SIRSA,CITY SIRSA,13,246,13
20251324427654816,2025,28.718934987107,76.110891472,Non-Injury,HARYANA,BHIWANI,SIWANI,13,244,27
20251321513887352,2025,29.718151013846,76.921119314,Minor Injury Non-Hospitalized,HARYANA,KARNAL,CITY KARNAL,13,215,13
